date,platform,category,rank,product_name,brand,price,rating,review_count,product_url,image_url,breadcrumb,scraped_at
20251201,amazon,Face Moisturizers,10,Water Sleeping Mask,LANEIGE,23.04,4.51,1723,https://amazon.com/dp/DEMO6771,https://via.placeholder.com/300x300?text=LANEIGE,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Cleansing Balms,4,Cream Skin Refiner,LANEIGE,26.44,4.5,4053,https://amazon.com/dp/DEMO8760,https://via.placeholder.com/300x300?text=LANEIGE,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Sleeping Masks,10,Lip Sleeping Mask,LANEIGE,23.83,4.56,2282,https://amazon.com/dp/DEMO0182,https://via.placeholder.com/300x300?text=LANEIGE,Beauty > Skin Care > Lip Care > Overnight Treatments,2025-12-01T22:40:59.285794
20251201,amazon,Face Moisturizers,9,Water Bank Blue Hyaluronic Cream,LANEIGE,25.97,4.54,2565,https://amazon.com/dp/DEMO7660,https://via.placeholder.com/300x300?text=LANEIGE,Beauty > Skin Care > Face > Night Creams,2025-12-01T22:40:59.285794
20251201,amazon,Facial Treatments & Masks,21,Bouncy & Firm Sleeping Mask,LANEIGE,25.73,4.45,1319,https://amazon.com/dp/DEMO8334,https://via.placeholder.com/300x300?text=LANEIGE,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Lip Masks & Treatments,25,Heartleaf 77% Soothing Toner,Anua,19.58,4.58,1049,https://amazon.com/dp/DEMO3718,https://via.placeholder.com/300x300?text=Anua,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Face Moisturizers,14,Heartleaf Pore Control Cleansing Oil,Anua,19.49,4.72,1676,https://amazon.com/dp/DEMO2538,https://via.placeholder.com/300x300?text=Anua,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Cleansing Balms,8,Heartleaf 80% Soothing Ampoule,Anua,18.59,4.42,2597,https://amazon.com/dp/DEMO4019,https://via.placeholder.com/300x300?text=Anua,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Lip Masks & Treatments,2,Advanced Snail 96 Mucin Power Essence,COSRX,16.24,4.8,7109,https://amazon.com/dp/DEMO0405,https://via.placeholder.com/300x300?text=COSRX,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
20251201,amazon,Facial Treatments & Masks,2,Low pH Good Morning Gel Cleanser,COSRX,14.9,4.65,5410,https://amazon.com/dp/DEMO2798,https://via.placeholder.com/300x300?text=COSRX,Beauty > Skin Care > Face > Moisturizers,2025-12-01T22:40:59.285794
